NUM_POST,latitude,longitude,type,commune,altitude,nom_usuel,num_dep
5079001,44.972,6.514,RR,LE MONETIER-LES-BAINS,1459,LE MONETIER LES BAINS,5
5079001,44.972,6.514,TX,LE MONETIER-LES-BAINS,1459,LE MONETIER LES BAINS,5
5090002,44.748,6.123,RR,LA MOTTE-EN-CHAMPSAUR,1250,MOTTE-MOLINES,5
5093001,45.019,6.622,RR,NEVACHE,1603,NEVACHE-EDF-03,5
5098001,44.501,6.552,RR,LES ORRES,1446,LES ORRES,5
5098001,44.501,6.552,TN,LES ORRES,1446,LES ORRES,5
5098001,44.501,6.552,TX,LES ORRES,1446,LES ORRES,5
5101001,44.871,6.487,RR,VALLOUISE-PELVOUX,1270,PELVOUX,5
5132001,44.684,6.073,RR,SAINT-BONNET-EN-CHAMPSAUR,1005,ST-BONNET CHAMPSAUR,5
5139002,44.695,5.941,RR,DEVOLUY,1300,ST ETIENNE-EN-DEVOLUY,5
5139006,44.696,5.881,RR,DEVOLUY,1244,AGNIERES-EN-DEVOLUY,5
5142001,44.782,6.024,RR,SAINT-FIRMIN,935,ST FIRMIN,5
5142001,44.782,6.024,TX,SAINT-FIRMIN,935,ST FIRMIN,5
5157001,44.693,6.869,RR,SAINT-VERAN,2000,ST VERAN,5
5157001,44.693,6.869,TN,SAINT-VERAN,2000,ST VERAN,5
5157001,44.693,6.869,TX,SAINT-VERAN,2000,ST VERAN,5
5182001,44.827,6.146,RR,VILLAR-LOUBIERE,1072,VILLAR LOUBIERE,5
6004002,43.565,7.133,RR,ANTIBES,75,ANTIBES-GAROUPE,6
6004004,43.58,7.091,RR,ANTIBES,13,ANTIBES-GOLF,6
6016001,44.09,6.988,RR,BEUIL,1464,BEUIL-OBS,6
6023004,43.94,7.514,RR,BREIL-SUR-ROYA,305,BREIL SUR ROYA,6
6029001,43.557,6.951,RR,MANDELIEU-LA-NAPOULE,2,CANNES,6
6029001,43.557,6.951,TN,MANDELIEU-LA-NAPOULE,2,CANNES,6
6029001,43.557,6.951,TX,MANDELIEU-LA-NAPOULE,2,CANNES,6
6050002,43.792,7.049,RR,COURSEGOULES,985,COURSEGOULES_SAPC,6
6071001,44.091,6.852,RR,GUILLAUMES,788,GUILLAUMES-OBS,6
6077006,43.929,7.363,RR,LUCERAM,1443,PEIRA CAVA,6
6086001,43.942,7.415,RR,MOULINET,817,MOULINET,6
6088007,43.739,7.279,RR,NICE,238,NICE-RIMIEZ,6
6094002,44.1,6.931,RR,PEONE,1784,PEONE,6
6118002,43.679,6.809,RR,SAINT-CEZAIRE-SUR-SIAGNE,694,ST CEZAIRE SUR SIAGNE,6
6163001,44.087,7.595,RR,TENDE,792,TENDE-OBS,6
6163007,44.043,7.586,RR,TENDE,636,TENDE_SAPC,6
6163007,44.043,7.586,TN,TENDE,636,TENDE_SAPC,6
7005001,44.54,4.583,RR,ALBA-LA-ROMAINE,223,ALBA LA ROMAINE,7
7010001,45.246,4.671,RR,ANNONAY,336,ANNONAY,7
7010001,45.246,4.671,TN,ANNONAY,336,ANNONAY,7
7011002,44.719,4.352,RR,VALLEES-D'ANTRAIGUES-ASPERJOC,428,ANTRAIGUES,7
7019005,44.602,4.41,RR,AUBENAS,176,AUBENAS SA,7
7019005,44.602,4.41,TN,AUBENAS,176,AUBENAS SA,7
7019005,44.602,4.41,TX,AUBENAS,176,AUBENAS SA,7
7033001,44.34,4.299,RR,BESSAS,251,BESSAS,7
7064001,44.915,4.438,RR,LE CHEYLARD,418,CHEYLARD SA,7
7064001,44.915,4.438,TN,LE CHEYLARD,418,CHEYLARD SA,7
7064001,44.915,4.438,TX,LE CHEYLARD,418,CHEYLARD SA,7
7068001,45.016,4.671,RR,COLOMBIER-LE-JEUNE,566,COLOMBIER JEUNE RAD,7
7075001,44.78,4.1,RR,CROS-DE-GEORAND,1021,CROS GEORAND,7
7101001,44.411,4.301,RR,GROSPIERRES,127,GROSPIERRES,7
7105001,44.773,3.982,RR,ISSANLAS,1215,ISSANLAS,7
7105001,44.773,3.982,TN,ISSANLAS,1215,ISSANLAS,7
7105001,44.773,3.982,TX,ISSANLAS,1215,ISSANLAS,7
7117001,44.461,4.235,RR,LABLACHERE,265,LABLACHERE DROME,7
7117002,44.48,4.209,RR,LABLACHERE,295,LABLACHERE,7
7128001,45.118,4.535,RR,LALOUVESC,1090,LALOUVESC,7
7128001,45.118,4.535,TN,LALOUVESC,1090,LALOUVESC,7
7128001,45.118,4.535,TX,LALOUVESC,1090,LALOUVESC,7
7144001,44.6,4.049,RR,LOUBARESSE,1220,LOUBARESSE,7
7144001,44.6,4.049,TN,LOUBARESSE,1220,LOUBARESSE,7
7144001,44.6,4.049,TX,LOUBARESSE,1220,LOUBARESSE,7
7153001,44.667,4.113,RR,MAYRES,579,MAYRES,7
7159001,44.582,4.497,RR,MIRABEL,275,MIRABEL SA,7
7159001,44.582,4.497,TN,MIRABEL,275,MIRABEL SA,7
7159001,44.582,4.497,TX,MIRABEL,275,MIRABEL SA,7
7161001,44.716,4.207,RR,MONTPEZAT-SOUS-BAUZON,602,MONTPEZAT SA,7
7172002,45.286,4.706,RR,PEAUGRES,480,PEAUGRES RAD,7
7232001,44.651,3.949,RR,SAINT-ETIENNE-DE-LUGDARES,1022,ST-ETIENNE LUGDARES,7
7240001,44.86,4.833,RR,SAINT-GEORGES-LES-BAINS,112,ST-GEORGES BAIN,7
7261001,44.818,4.747,RR,SAINT-LAURENT-DU-PAPE,112,ST-LAURENT PAPE,7
7261001,44.818,4.747,TN,SAINT-LAURENT-DU-PAPE,112,ST-LAURENT PAPE,7
