num_dep,YYYY,TYPE,VALEUR
1,1961,TX,17.25
1,1962,RR,87.66833333333334
1,1962,TM,9.75
1,1962,TN,4.358333333333333
1,1962,TX,15.133333333333333
1,1963,RR,111.71499999999999
1,1963,TM,9.441666666666666
1,1963,TN,4.483333333333333
1,1963,TX,14.424999999999999
1,1964,RR,74.38103448275862
1,1964,TM,10.595833333333333
1,1964,TN,5.664583333333333
1,1964,TX,15.5375
1,1965,RR,129.8576923076923
1,1965,TM,10.258333333333335
1,1965,TN,5.379166666666666
1,1965,TX,15.129166666666668
1,1966,RR,104.87666666666668
1,1966,TM,11.010416666666666
1,1966,TN,6.0
1,1966,TX,16.01875
1,1967,RR,98.33999999999999
1,1967,TM,10.735416666666666
1,1967,TN,5.4375
1,1967,TX,16.016666666666666
1,1968,RR,121.92
1,1968,TM,10.19375
1,1968,TN,5.3500000000000005
1,1968,TX,15.039583333333333
1,1969,RR,93.22666666666667
1,1969,TM,10.177083333333334
1,1969,TN,5.197916666666667
1,1969,TX,15.164583333333333
1,1970,RR,127.58500000000001
1,1970,TM,10.260416666666666
1,1970,TN,5.40625
1,1970,TX,15.122916666666667
1,1971,RR,84.07833333333333
1,1971,TM,10.004166666666666
1,1971,TN,4.6875
1,1971,TX,15.322916666666666
1,1972,RR,83.06333333333333
1,1972,TM,10.033333333333333
1,1972,TN,4.814583333333333
1,1972,TX,15.279166666666667
1,1973,RR,88.03833333333334
1,1973,TM,9.997916666666667
1,1973,TN,4.8062499999999995
1,1973,TX,15.19375
1,1974,RR,110.36833333333334
1,1974,TM,10.677083333333334
1,1974,TN,5.70625
1,1974,TX,15.625
1,1975,RR,109.95333333333333
1,1975,TM,10.393749999999999
1,1975,TN,5.6000000000000005
1,1975,TX,15.191666666666668
1,1976,RR,89.72166666666666
1,1976,TM,10.725
1,1976,TN,5.345833333333334
1,1976,TX,16.122916666666665
1,1977,RR,130.05833333333334
1,1977,TM,10.793750000000001
1,1977,TN,5.916666666666667
1,1977,TX,15.700000000000001
1,1978,RR,102.75333333333333
1,1978,TM,9.977083333333333
1,1978,TN,5.014583333333333
1,1978,TX,14.945833333333333
1,1979,RR,120.575
1,1979,TM,10.566666666666666
1,1979,TN,5.785416666666666
1,1979,TX,15.38125
1,1980,RR,120.76
1,1980,TM,9.956249999999999
1,1980,TN,5.26875
1,1980,TX,14.6625
1,1981,RR,120.40333333333334
1,1981,TM,10.452083333333333
1,1981,TN,5.654166666666666
1,1981,TX,15.245833333333332
1,1982,RR,117.58500000000001
1,1982,TM,11.525
1,1982,TN,6.558333333333334
1,1982,TX,16.516666666666666
1,1983,RR,117.56
1,1983,TM,11.206249999999999
1,1983,TN,6.354166666666667
1,1983,TX,16.0625
1,1984,RR,100.49
1,1984,TM,10.49375
1,1984,TN,5.504166666666666
1,1984,TX,15.481250000000001
1,1985,RR,92.725
1,1985,TM,10.116666666666667
1,1985,TN,5.1312500000000005
1,1985,TX,15.106250000000001
1,1986,RR,105.17
1,1986,TM,10.704166666666666
1,1986,TN,6.108333333333333
1,1986,TX,15.322916666666666
1,1987,RR,106.73833333333333
1,1987,TM,10.722916666666668
1,1987,TN,6.54375
1,1987,TX,14.924999999999999
1,1988,RR,116.345
1,1988,TM,11.672916666666666
1,1988,TN,7.285416666666666
1,1988,TX,16.052083333333332
1,1989,RR,72.02833333333334
1,1989,TM,11.866666666666667
1,1989,TN,6.7
1,1989,TX,17.020833333333332
1,1990,RR,110.76760563380282
1,1990,TM,11.672916666666666
1,1990,TN,6.739583333333333
1,1990,TX,16.608333333333334
1,1991,RR,93.9375
1,1991,TM,11.385416666666666
1,1991,TN,6.53125
1,1991,TX,16.239583333333332
1,1992,RR,109.79722222222222
1,1992,TM,11.860714285714286
1,1992,TN,7.392857142857143
1,1992,TX,16.3375
1,1993,RR,121.72222222222223
1,1993,TM,11.038333333333332
1,1993,TN,6.61
1,1993,TX,15.468333333333334
1,1994,RR,104.17662337662338
1,1994,TM,12.518461538461539
1,1994,TN,7.955384615384616
1,1994,TX,17.076923076923077
1,1995,RR,110.38333333333334
1,1995,TM,11.5625
1,1995,TN,6.713888888888889
1,1995,TX,16.38611111111111
1,1996,RR,93.96428571428571
1,1996,TM,10.619444444444445
1,1996,TN,5.886111111111111
1,1996,TX,15.358333333333333
1,1997,RR,83.54523809523809
1,1997,TM,11.830555555555556
1,1997,TN,6.544444444444444
1,1997,TX,17.109722222222224
1,1998,RR,91.61666666666667
1,1998,TM,11.274999999999999
1,1998,TN,6.348611111111111
1,1998,TX,16.186111111111114
1,1999,RR,121.34285714285713
1,1999,TM,11.79861111111111
1,1999,TN,7.143055555555555
1,1999,TX,16.44861111111111
1,2000,RR,104.09404761904761
1,2000,TM,12.252777777777778
1,2000,TN,7.326388888888889
1,2000,TX,17.200000000000003
1,2001,RR,106.57701149425289
1,2001,TM,11.481333333333334
1,2001,TN,6.902666666666668
1,2001,TX,16.052
1,2002,RR,108.65104166666667
1,2002,TM,12.121428571428572
1,2002,TN,7.336904761904761
1,2002,TX,16.901190476190475
1,2003,RR,76.41717171717171
1,2003,TM,12.394252873563218
1,2003,TN,6.87816091954023
1,2003,TX,17.904597701149427
1,2004,RR,95.80462962962963
1,2004,TM,11.313541666666666
1,2004,TN,6.4437500000000005
1,2004,TX,16.181250000000002
1,2005,RR,80.9962962962963
1,2005,TM,11.120833333333332
1,2005,TN,6.079166666666667
1,2005,TX,16.157291666666666
1,2006,RR,99.61574074074075
1,2006,TM,11.954166666666666
1,2006,TN,7.073958333333334
1,2006,TX,16.845833333333335
1,2007,RR,109.62777777777777
1,2007,TM,11.616666666666667
1,2007,TN,6.682291666666667
1,2007,TX,16.558333333333334
1,2008,RR,107.70370370370371
1,2008,TM,11.392708333333333
1,2008,TN,6.529166666666666
1,2008,TX,16.264583333333334
1,2009,RR,85.4675925925926
1,2009,TM,11.84375
1,2009,TN,6.536458333333333
