num_poste,latitude(°),longitude(°),type
32013005,43.689,0.601,RR
32132001,43.874,0.673,RR
32147001,43.628,0.884,RR
32190001,43.792,0.208,RR
32256001,43.53,0.401,RR
32355001,43.399,0.349,RR
33042001,44.494,-0.791,RR
33063001,44.85,-0.589,RR
33095001,44.295,-0.261,RR
33214002,45.001,-1.139,RR
33236002,44.631,-1.252,RR
33484001,44.427,-0.489,RR
33504001,44.544,-0.327,RR
33529001,44.535,-1.132,RR
34032002,43.334,3.155,RR
34046005,43.622,2.865,RR
34064003,43.867,3.309,RR
34142001,43.72,3.303,RR
34144001,43.696,3.171,RR
34151005,43.634,4.168,RR
34154001,43.576,3.965,RR
34174002,43.948,3.752,RR
34178001,43.476,3.146,RR
34233001,43.8,3.213,RR
34274001,43.78,3.729,RR
34277001,43.841,3.522,RR
34284001,43.489,2.755,RR
34319001,43.547,3.299,RR
35026001,48.112,-2.124,RR
35115001,48.337,-1.213,RR
35178001,48.309,-1.439,RR
35202001,47.78,-1.765,RR
35224001,48.525,-1.844,RR
35228001,48.585,-2.076,RR
35238003,48.126,-1.644,RR
35281001,48.069,-1.734,RR
35294001,47.691,-2.005,RR
35347001,48.168,-1.302,RR
36001001,46.436,1.823,RR
36018001,46.637,1.073,RR
36034002,47.238,1.707,RR
36063001,46.87,1.741,RR
36070001,46.436,1.581,RR
36088005,46.96,2.029,RR
36093002,46.949,1.663,RR
36103001,47.131,1.442,RR
36113001,46.805,1.04,RR
36127002,46.61,1.974,RR
36139001,46.792,1.446,RR
36141001,46.598,1.799,RR
36147001,47.136,1.749,RR
36155001,46.975,1.406,RR
36186001,46.679,2.125,RR
36192001,46.637,1.43,RR
36208001,46.488,2.067,RR
37023002,47.177,1.212,RR
37113001,46.921,0.796,RR
37119001,47.114,0.425,RR
37122001,47.325,0.661,RR
37128002,47.293,0.403,RR
37170001,47.608,0.596,RR
37179001,47.445,0.727,RR
37240001,47.59,0.931,RR
37241001,47.442,0.32,RR
37253001,47.265,0.993,RR
38006001,45.395,6.072,RR
38021001,45.182,5.552,RR
38034001,45.35,5.037,RR
38040001,45.071,6.168,RR
38053003,45.608,5.309,RR
38082001,45.433,5.517,RR
38153001,45.176,5.617,RR
38162001,45.595,5.529,RR
38242001,44.922,5.638,RR
38285001,45.052,5.987,RR
38315002,45.528,5.671,RR
38349001,45.33,4.769,RR
38442001,45.363,5.792,RR
38504001,45.302,5.996,RR
38527001,45.149,6.047,RR
39156001,46.582,5.765,RR
39159002,46.868,5.572,RR
39177001,46.69,5.659,RR
39198001,47.064,5.496,RR
39235001,47.149,5.768,RR
39240001,46.634,5.895,RR
39362001,46.693,5.518,RR
39485002,46.385,5.448,RR
40031001,43.833,-0.836,RR
40033001,44.064,-0.454,RR
40088001,43.69,-1.07,RR
40134001,44.213,-0.915,RR
40192001,43.91,-0.5,RR
40272002,43.571,-1.299,RR
40286001,43.641,-0.489,RR
40304001,43.67,-1.426,RR
41018001,47.572,1.338,RR
41050002,47.505,1.436,RR
41075003,48.016,1.032,RR
41080001,47.332,1.166,RR
41106001,47.611,2.012,RR
41269001,47.827,1.054,RR
41285001,47.611,1.744,RR
42005001,45.546,4.294,RR
42011001,45.82,4.192,RR
42042001,45.47,4.245,RR
42059001,45.642,4.396,RR
42094003,45.739,4.234,RR
42098001,45.941,4.269,RR
42145003,46.016,4.222,RR
42152001,46.097,4.191,RR
42159001,45.813,3.761,RR
42165003,45.804,4.334,RR
42227001,45.702,3.956,RR
42239001,45.975,4.006,RR
42287001,45.269,4.504,RR
42306001,45.369,4.499,RR
43003001,45.203,3.718,RR
43037001,44.885,3.791,RR
43046001,45.055,3.895,RR
43062001,45.075,3.764,RR
43071001,45.258,3.827,RR
43118001,45.156,3.41,RR
43162001,45.204,4.03,RR
43244003,45.117,4.277,RR
43246001,45.268,3.999,RR
44015001,47.473,-1.772,RR
44020001,47.15,-1.609,RR
44067001,47.625,-1.89,RR
44103001,47.314,-2.155,RR
44109012,47.228,-1.514,RR
44110002,47.425,-1.514,RR
44113001,47.573,-1.612,RR
44117002,47.142,-1.337,RR
44120002,47.21,-1.829,RR
44129001,47.44,-2.105,RR
44131002,47.122,-2.093,RR
44180005,47.526,-1.185,RR
44181001,47.006,-1.783,RR
44188001,47.029,-1.653,RR
45055001,47.991,1.778,RR
45069001,48.025,2.26,RR
45145001,48.113,2.858,RR
45187001,47.881,2.505,RR
45193001,47.769,2.022,RR
45245001,47.672,2.81,RR
45253001,48.166,2.228,RR
45270002,47.808,2.306,RR
45340002,47.694,2.366,RR
46005001,44.493,1.208,RR
46038002,44.913,1.838,RR
46127001,44.745,1.397,RR
46128002,44.76,1.726,RR
