COMMUNE,NUM_POSTE,ALTI,NOM_USUEL,LAT_DG,NUM_DEP,LON_DG,ficheClimComplete,ficheClimReduite
SAINT-ETIENNE-DE-TINEE,06120004,1150,ST ETIENNE DE TINEE_SAPC,44.257667,6,6.921167,0,1
SAINT-MARTIN-D'ENTRAUNES,06125001,1642,ST MARTIN D'ENTRAUNES_SAPC,44.154667,6,6.747,0,1
SAINT-MARTIN-VESUBIE,06127001,994,ST-MARTIN-DE-VESUBIE-OBS,44.074167,6,7.254167,0,1
SOSPEL,06136005,843,SOSPEL,43.862833,6,7.433667,0,1
VALBONNE,06152002,238,VALBONNE-SOPHIA,43.623167,6,7.0285,1,1
VALDEBLORE,06153400,2430,MILLEFONTS-NIVOSE,44.118333,6,7.192,0,0
TENDE,06163001,792,TENDE-OBS,44.086667,6,7.595,0,0
TENDE,06163007,636,TENDE_SAPC,44.043167,6,7.586,0,1
ALBA-LA-ROMAINE,07005001,223,ALBA LA ROMAINE,44.539833,7,4.5825,0,1
ANNONAY,07010001,336,ANNONAY,45.246167,7,4.6705,0,1
VALLEES-D'ANTRAIGUES-ASPERJOC,07011002,428,ANTRAIGUES,44.719167,7,4.352167,0,0
VALLEES-D'ANTRAIGUES-ASPERJOC,07011004,600,ANTRAIGUES SA,44.712167,7,4.352167,0,1
AUBENAS,07019005,176,AUBENAS SA,44.601667,7,4.409833,0,1
BARNAS,07025001,480,BARNAS RAD,44.666,7,4.159833,0,1
BERZEME,07032002,650,BERZEME RAD,44.628333,7,4.566333,0,1
BESSAS,07033001,251,BESSAS,44.34,7,4.298667,0,0
LE CHEYLARD,07064001,418,CHEYLARD SA,44.914833,7,4.4375,0,1
ALISSAS,07066001,216,CHOMERAC SA_RCE,44.6995,7,4.648333,0,1
COLOMBIER-LE-JEUNE,07068001,566,COLOMBIER JEUNE RAD,45.0155,7,4.671167,0,1
COLOMBIER-LE-VIEUX,07069001,408,COLOMBIER VIEUX SA,45.063667,7,4.698,0,1
CROS-DE-GEORAND,07075001,1021,CROS GEORAND,44.780167,7,4.099667,0,1
GLUIRAS,07096001,760,GLUIRAS RAD,44.839333,7,4.524,1,1
GRAS,07099001,341,GRAS,44.429,7,4.5655,0,0
GROSPIERRES,07101001,127,GROSPIERRES,44.411333,7,4.300833,0,1
GROSPIERRES,07101002,107,GROSPIERRES SA,44.4115,7,4.295833,0,1
